DE ref,Schoolname,Newcomer,Total enrolment,% Newcomer
4013305,"Harmony Hill Primary School, Lisburn",37,632,5.90%
4013334,Knockmore Primary School,*,192,*
4016002,Kilcooley Primary School,0,178,0.00%
4016004,Londonderry Primary School,*,396,*
4016020,Carrowdore Primary School,0,176,0.00%
4016067,Rathmore Primary School,0,639,0.00%
4016083,West Winds Primary School,6,186,3.20%
4016104,Moira Primary School,9,406,2.20%
4016111,Towerview Primary School,*,430,*
4016123,Spa Primary School,0,186,0.00%
4016126,Andrews Memorial Primary School,5,334,1.50%
4016144,Old Warren Primary School,9,159,5.70%
4016145,"Killowen Primary School, Lisburn",17,464,3.70%
4016192,Kilmaine Primary School,0,678,0.00%
4016201,Academy Primary School,0,447,0.00%
4016202,Ballinderry Primary School,*,252,*
4016235,Downpatrick Primary School,9,213,4.20%
4016396,Killinchy Primary School,*,358,*
4016399,Abbey Primary School,*,598,*
4016401,Pond Park Primary School,47,621,7.60%
4016417,Maghaberry Primary School,*,275,*
4016430,Ballymagee Primary School,*,428,*
4016441,Ballymacash Primary School,21,435,4.80%
4016503,Brooklands Primary School,12,556,2.20%
4016615,Riverdale Primary School,0,206,0.00%
4016636,Meadow Bridge Primary School,*,289,*
4016649,"Downshire Primary School,Hillsborough",*,649,*
4016650,Cumran Primary School,*,192,*
4016681,Glasswater Primary School,0,97,0.00%
4030573,Ballymacward Primary School,0,66,0.00%
4030823,Ballymacrickett Primary School,6,393,1.50%
4030897,"St Joseph's Primary School, Lisburn",50,385,13.00%
4031231,"St Joseph's Primary School, Ballycruttle",0,53,0.00%
4031328,"Christ The King Primary School, Ballynahinch",*,112,*
4031350,"St Malachy's Primary School, Kilclief",0,75,0.00%
4031485,St Caolan's Primary School,0,67,0.00%
4031526,"St Patrick's Primary School, Saul",*,183,*
4031531,"St Francis' Primary School, Drumaroad",0,94,0.00%
4031550,"St Joseph's Primary School, Crossgar",*,89,*
4031628,"St Patrick's Primary School, Holywood",22,295,7.50%
4031660,"St Joseph's Primary School, Carryduff",9,483,1.90%
4031662,"St Mary's Primary School, Comber",13,71,18.30%
4031663,"St Joseph's Primary School, Carnacaville",0,195,0.00%
