Data on Pupils 1 attending primary schools in Northern Ireland 2015/16: SEN data,,,,
DE ref,Schoolname,Special Educational Needs,Code of Practice,(Stage 1 - 5 on code of practice)
3016037,Greystone Primary School,*,#,43
3016038,Hollybank Primary School,*,#,32
3016040,Armoy Primary School,0,25,25
3016052,Harpurs Hill Primary School,24,82,106
3016055,Gorran Primary School,*,#,17
3016058,Parkhall Primary School,6,38,44
3016063,Dunclug Primary School,*,#,26
3016119,Garvagh Primary School,*,#,19
3016125,Rasharkin Primary School,*,#,16
3016129,Carniny Primary School,6,32,38
3016170,Ballyhenry Primary School,*,#,28
3016225,Woodlawn Primary School,*,#,38
3016244,Ashgrove Primary,9,100,109
3016249,Earlview Primary,7,101,108
3016252,Ballysally Primary School,18,78,96
3016257,Oakfield Primary School,7,47,54
3016260,Cloughmills Primary School,*,#,25
3016264,Irish Society's Primary School,7,47,54
3016269,Cairncastle Primary School,*,#,25
3016283,Knockloughrim Primary School,*,#,53
3016414,Fairview Primary School,8,79,87
3016440,Portglenone Primary School,*,#,24
3016444,Hazelbank Primary School,*,#,19
3016447,Balnamore Primary School,*,#,34
3016594,Bushvalley Primary School,*,#,31
3016705,Islandmagee Primary School,*,#,35
3030434,Creggan Primary School,*,#,7
3030438,Millquarter Primary School,5,26,31
3030547,"St Patrick's Primary School, Portrush",*,#,25
3030588,"St Mary's Primary School, Rathlin",0,*,*
3030621,"St Mary's Primary School, Portglenone",7,31,38
3030688,Mount St Michael's Primary School,8,68,76
3030708,Glenann Primary School,*,#,7
3030719,St Olcan's Primary School,*,#,11
3030800,Barnish Primary School,*,#,11
3030815,Moneynick Primary School,*,#,10
3030832,"St Comgall's Primary School, Antrim",*,#,71
3030848,St Macnisius' Primary School,*,*,5
3030890,"St Brigid's Primary School, Cloughmills",0,8,8
3030894,"St Mary's Primary School, Cushendall",*,#,21
3030898,"St Anne's Primary School, Ballymena",*,#,8
3030899,"Seaview Primary School, Glenarm",*,#,10
3030900,"St Anthony's Primary School, Larne",*,#,27
