DE ref,school name,nursery pupils,reception pupils,year 1,year 2,year 3,year 4,year 5,year 6,year 7,total enrolment
2032683,"St Joseph's Primary School, Glenmornan",0,0,5,5,5,4,8,8,3,38
2032684,St Lawrence's Primary School,26,0,34,23,43,41,26,44,25,262
2032685,"St Brigid's Primary School, Cranagh",0,0,1,4,3,3,4,3,4,22
2032688,"St Eugene's Primary School, Tyrcur",0,0,8,5,10,4,2,0,2,31
2032694,St Caireall's Primary School,0,7,13,10,16,13,14,6,13,92
2032700,"St Joseph's Primary School, Drumquin",0,0,22,23,15,26,21,12,17,136
2032704,Recarson Primary School,0,0,13,9,15,16,17,18,18,106
2032705,"St Patrick's Primary School, Eskra",0,0,18,11,12,13,13,13,15,95
2032721,"Sacred Heart Primary School, Tattyreagh",0,0,9,11,13,10,12,15,10,80
2032722,Altishane Primary School,0,0,2,0,1,4,2,2,5,16
2032723,Roscavey Primary School,0,0,8,10,8,10,5,10,7,58
2032724,Loughash Primary School,0,0,6,9,4,7,2,5,4,37
2032730,"St Columba's Primary School, Clady",0,7,20,14,17,30,14,19,28,149
2032731,"St Teresa's Primary School, Loughmacrory",0,0,27,25,25,21,21,17,21,157
2032737,"St Columbkille's Primary School, Carrickmore",26,0,41,50,48,47,35,49,34,330
2033706,Faughanvale Primary School,0,0,24,19,38,30,29,24,33,197
2033707,Mullabuoy Primary School,0,0,9,19,7,13,12,11,11,82
2033708,St Aidan's Primary School Magilligan,0,0,13,10,9,11,5,9,6,63
2036008,"St Patrick's Primary School, Newtownstewart",0,0,23,21,16,18,15,16,17,126
2036032,"St John's Primary School, Bligh's Lane",0,0,75,76,77,89,84,86,76,563
2036045,"St Canice's Primary School, Dungiven",26,0,41,55,40,33,52,39,40,326
2036069,"St Anne's Primary School, Derry",0,0,76,83,86,73,75,51,57,501
2036070,"St Joseph's Primary School, Ederney",26,0,21,16,24,18,16,13,20,154
2036082,"St Colmcilles Primary School, Claudy",26,0,39,36,28,35,33,35,31,263
2036084,Steelstown Primary School,30,0,47,51,50,48,48,52,50,376
2036085,St Peter's & St Paul's Primary School,0,0,5,9,5,3,5,7,8,42
2036090,"St Naile's Primary School, Kinawley",0,0,13,12,19,12,10,17,12,95
2036094,"St Patrick's Primary School, Castlederg",52,0,41,33,43,33,40,38,40,320
2036095,"St Mary's Primary School, Cloughcor",0,0,25,17,31,31,25,28,26,183
2036097,"St Peter's Primary School, Plumbridge",0,0,5,20,11,9,9,9,14,77
2036105,St Martin's Primary School,0,2,10,13,10,9,14,18,15,91
2036107,"St Joseph's Primary School, Lisnaskea",0,0,13,14,10,17,14,15,11,94
2036116,"St Conor's Primary School, Omagh",53,0,51,56,58,55,58,58,49,438
2036142,"St Brigid's Primary School, Carnhill",31,0,54,49,44,38,48,53,46,363
2036143,"St Oliver Plunkett Primary School, Strathfoyle",0,0,41,31,25,41,33,25,26,222
2036149,"St Finlough's Primary School, Sistrakeel",0,0,8,12,11,14,11,15,8,79
2036153,St Scire's Primary School,0,0,23,15,20,8,18,18,16,118
2036181,"St Mary's Primary School, Teemore",0,0,13,16,11,15,16,10,11,92
2036186,"St Dympna's Primary School, Dromore,",0,0,30,30,25,28,31,30,31,205
2036187,"St John's Primary School, Dernaflaw",0,0,16,22,12,21,26,16,18,131
2036213,"St Columban's Primary School, Belcoo",0,0,13,14,11,16,21,14,14,103
2036227,"St Paul's Primary School, Slievemore",26,0,24,20,23,22,17,15,18,165
2036247,"St Columba's Primary School, Newbuildings",0,2,8,9,11,12,9,5,7,63
2036258,"St Davog's Primary School, Belleek",0,0,11,13,17,15,7,17,16,96
2036259,"Sacred Heart Primary School, Trench Road",0,0,56,62,49,66,60,49,55,397
2036288,Good Shepherd Primary School,53,0,54,62,56,63,44,52,52,436
2036291,"St Oliver Plunkett Primary School, Beragh",23,0,8,13,14,12,7,19,8,104
2036356,"St Mary's Primary School, Tempo",0,0,23,17,19,13,16,18,20,126
2036387,"St Patrick's Primary School, Donemana",0,0,5,5,3,6,4,7,6,36
2036415,"Our Lady of Lourdes Primary School, Omagh",0,0,13,24,15,14,16,17,15,114
2036449,"Christ The King Primary School, Omagh",26,0,23,24,31,27,25,26,20,202
2036458,"St Mary?s Primary School, Gortnaghey",0,0,14,9,4,15,8,10,11,71
2036459,"St Theresa's Primary School, Glebe",0,0,12,19,13,13,19,12,13,101
2036461,"St Therese's Primary School, Lenamore",0,0,59,45,64,51,49,41,57,366
2036465,Chapel Road Primary School,0,0,27,22,29,35,32,26,36,207
2036472,"Holy Family Primary School, Ballymagroarty",52,0,60,69,69,59,66,60,56,491
2036473,"St Eithne's Primary School, Ballymagroarty",0,0,63,56,41,58,66,62,72,418
2036475,Longtower Primary School,30,0,31,46,37,29,30,32,34,269
2036533,Hollybush Primary School,52,0,64,62,53,51,55,55,58,450
2036555,"St Eugene's Primary School, Londonderry",26,0,21,17,20,19,17,22,21,163
2036557,All Saints Primary School,0,3,19,13,20,15,16,17,7,110
2036574,Bunscoil Cholmcille,26,0,14,10,8,14,12,11,13,108
2036581,"St Patrick's Primary School, Pennyburn",0,0,131,121,117,123,120,135,120,867
2036632,"Holy Trinity Primary School, Enniskillen",55,0,94,70,95,87,101,82,121,705
2036659,"St Macartan's Primary School, Roslea",0,0,14,20,11,19,18,19,20,121
2036674,"Holy Family Primary School, Omagh",0,3,58,60,59,47,60,48,49,384
2036696,"St Mary's Primary School, Strabane",106,0,86,100,93,87,90,88,95,745
2036703,St Catherine?s Primary School,53,0,69,57,67,62,66,66,60,500
2046638,Gaelscoil U? Dhochartaigh,26,0,24,25,19,24,17,20,15,170
2046646,Gaelscoil Eadain Mhoir,26,0,27,22,19,13,11,16,15,149
2046669,Bunscoil an Traonaigh,0,0,4,11,6,7,8,3,5,44
2046677,Gaelscoil na gCrann,26,0,25,26,18,22,16,16,8,157
2046687,Gaelscoil na Daroige,0,0,11,7,11,9,9,9,10,66
2046689,Gaelscoil Leim an Mhadaidh,0,0,15,14,17,8,12,10,6,82
2052035,Groarty Primary School,0,0,7,3,5,6,5,5,10,41
2066549,Enniskillen Integrated Primary School,26,0,48,43,58,45,52,32,33,337
2066552,Omagh Integrated Primary School,26,0,38,40,61,42,44,53,44,348
2066558,Oakgrove Integrated Primary School,50,0,62,55,58,61,56,58,52,452
2066665,Roe Valley Integrated Primary School,0,0,30,29,23,24,30,23,29,188
3010404,Tildarg Primary School,0,0,10,14,13,9,15,12,7,80
3010466,Longstone Primary School,0,0,6,7,0,7,8,3,1,32
3010470,Carnalbanagh Primary School,0,0,5,2,5,5,3,2,4,26
3010486,Larne and Inver Primary School,0,0,34,31,23,25,37,27,23,200
3010553,Carrickfergus Model Primary School,0,0,60,60,56,56,59,55,54,400
3010558,Duneane Primary School,0,1,3,0,2,8,7,5,5,31
3010570,Straid Primary School,0,0,10,9,10,9,9,7,12,66
3010572,Carrowreagh Primary School,0,3,9,13,9,18,14,9,12,87
3010594,Garryduff Primary School,0,0,10,10,11,10,11,12,12,76
3010631,Ballyclare Primary School,0,0,77,73,68,89,78,77,61,523
3010642,Parkgate Primary School,0,0,2,11,9,16,14,6,6,64
3010646,Olderfleet Primary School,0,0,23,24,28,24,32,20,30,181
3010696,Woodburn Primary School,0,0,30,31,21,25,24,30,29,190
3010714,Buick Memorial Primary School,26,0,42,35,42,38,43,45,49,320
3010726,Dunseverick Primary School,0,0,12,11,14,20,15,17,13,102
3010741,Creavery Primary School,0,0,7,15,13,10,14,11,10,80
3010745,Loanends Primary School,0,0,31,30,30,29,32,27,25,204
3010754,Doagh Primary School,0,0,13,12,15,10,16,11,10,87
3010779,Thompson Primary School,0,6,21,25,29,28,25,24,31,189
3010780,Kirkinriola Primary School,0,0,2,5,9,3,8,6,3,36
3010781,Harryville Primary School,27,0,13,20,19,9,12,15,14,129
3010785,"Eden Primary School, Carrickfergus",0,0,30,30,31,28,31,30,30,210
3010787,Lislagan Primary School,0,0,17,17,18,16,18,15,12,113
3010794,Gracehill Primary School,26,0,59,58,57,58,60,55,59,432
3010795,Landhead Primary School,0,0,9,10,10,3,13,9,9,63
3010796,"Eden Primary School, Ballymoney",0,0,7,11,5,13,10,10,10,66
3010802,Ballynure Primary School,0,0,24,20,17,20,22,17,19,139
3010804,Straidbilly Primary School,0,0,14,13,18,20,14,11,18,108
3010808,Glynn Primary School,0,0,9,13,12,12,10,13,10,79
3010809,Ballycarry Primary School,0,0,20,16,11,12,7,9,17,92
3010816,Randalstown Central Primary School,0,8,21,23,29,23,27,27,29,187
3010817,Greenisland Primary School,0,0,62,48,55,53,63,60,58,399
3010818,Moorfields Primary School,0,0,18,28,26,24,28,33,27,184
