DE ref,Schoolname,male,female,total pupils
3016225,Woodlawn Primary School,132,135,267
3016244,Ashgrove Primary,182,175,357
3016249,Earlview Primary,103,121,224
3016252,Ballysally Primary School,126,140,266
3016257,Oakfield Primary School,170,158,328
3016260,Cloughmills Primary School,36,29,65
3016264,Irish Society's Primary School,142,157,299
3016269,Cairncastle Primary School,60,55,115
3016283,Knockloughrim Primary School,58,53,111
3016414,Fairview Primary School,277,254,531
3016440,Portglenone Primary School,56,62,118
3016444,Hazelbank Primary School,60,54,114
3016447,Balnamore Primary School,45,58,103
3016594,Bushvalley Primary School,75,69,144
3016705,Islandmagee Primary School,55,54,109
3030434,Creggan Primary School,57,60,117
3030438,Millquarter Primary School,60,75,135
3030547,"St Patrick's Primary School, Portrush",37,42,79
3030588,"St Mary's Primary School, Rathlin",4,6,10
3030621,"St Mary's Primary School, Portglenone",108,114,222
3030688,Mount St Michael's Primary School,240,231,471
3030708,Glenann Primary School,37,31,68
3030719,St Olcan's Primary School,36,44,80
3030800,Barnish Primary School,23,22,45
3030815,Moneynick Primary School,25,38,63
3030832,"St Comgall's Primary School, Antrim",250,284,534
3030848,St Macnisius' Primary School,14,21,35
3030890,"St Brigid's Primary School, Cloughmills",38,31,69
3030894,"St Mary's Primary School, Cushendall",86,96,182
3030898,"St Anne's Primary School, Ballymena",36,28,64
3030899,"Seaview Primary School, Glenarm",22,18,40
3030900,"St Anthony's Primary School, Larne",52,49,101
3032018,"St Brigid's Primary School, Tirkane",101,104,205
3032104,Ballyhackett Primary School,25,19,44
3032109,New Row Primary School,89,85,174
3032185,St Trea's Primary School,64,50,114
3032197,Knocknagin Primary School,35,28,63
3032202,"St Columba's Primary School, Garvagh",61,43,104
3032205,"St Columb's Primary School, Magherafelt",42,45,87
3032218,Crossroads Primary School,67,54,121
3032231,"St Colum's Primary School, Portstewart",84,93,177
3032246,"St John Bosco Primary School, Ballynease",54,66,120
3032257,Anahorish Primary School,87,88,175
3032268,"St Columba's Primary School, Straw",102,84,186
3032271,St Eoghan's Primary School,64,57,121
3032273,"St Mary's Primary School, Draperstown",118,100,218
3032274,"St John's Primary School, Swatragh",106,100,206
3032275,Greenlough Primary School (St Mary's),96,90,186
3032281,"St Mary's Primary School, Bellaghy",115,104,219
3032285,St Patrick's & St Joseph's Primary School,99,78,177
3032297,"St Malachy's Primary School, Coleraine",121,103,224
3033303,"St Oliver Plunkett Primary School, Antrim",99,113,212
3033304,Tir-na-Nog Primary School,9,15,24
3033313,"St Bernard's Primary School, Newtownabbey",302,338,640
3033317,"St John's Primary School, Carnlough",73,95,168
3033320,"St Patrick's Primary School, Rasharkin",105,117,222
3033326,"St Brigid's Primary School, Ballymoney",95,108,203
3033709,"St John's Primary School, Coleraine",74,83,157
3036026,"St Joseph's Primary School, Crumlin",369,316,685
3036039,"St Mary's Primary School, Glenview",113,129,242
3036046,St Mary's-on-The-Hill Primary School,178,200,378
3036050,"St Joseph's Primary School, Antrim",168,148,316
3036100,"St James' Primary School and Nursery Unit, Newtownabbey",165,152,317
3036103,"St Brigid's Primary School, Knockloughrim",131,129,260
3036131,"St Patrick's Primary School, Glenariffe",65,45,110
3036139,"St Macnissi's Primary School, Newtownabbey",97,104,201
3036147,"St Columba's Primary School, Kilrea",121,126,247
3036154,"St Patrick's Primary School, Loughgiel",107,87,194
3036243,"St Joseph's Primary School, Dunloy",178,140,318
3036268,St Ciaran's Primary School,24,20,44
3036292,"St Patrick's Primary School, Glen",94,95,189
3036559,St Patrick's & St Brigid's Primary School,197,169,366
3036562,"Holy Family Primary School, Magherafelt",307,284,591
3036563,"St Nicholas' Primary School, Carrickfergus",82,96,178
3036575,"St Macnissi's Primary School, Larne",105,117,222
3036666,"St Colmcille's Primary School, Ballymena",190,193,383
3036679,"St Brigid's Primary School, Ballymena",213,194,407
3036683,"St Paul's Primary School, Ahoghill",34,40,74
3036704,Mary Queen of Peace Primary School,122,115,237
3042162,Desertmartin Primary School,8,12,20
3046653,Gaelscoil an Chaistil,60,53,113
3046678,Gaelscoil na Sp?ir?n?,35,14,49
3046684,Gaelscoil Ghleann Darach,46,28,74
3046685,Gaelscoil Eanna,94,80,174
3046691,Gaelscoil an tSeancha?,61,71,132
3050519,Carnlough Controlled Integrated Primary School,17,15,32
3050791,Glengormley Integrated Primary School,170,180,350
3050859,Crumlin Controlled Intergrated Primary School,80,86,166
3050866,Ballymoney Controlled Integrated Primary School,164,191,355
3052071,Carhill Integrated Primary School,31,40,71
3053333,Ballycastle Integrated Primary School,111,91,202
3056231,Six Mile Integrated Primary School,64,41,105
3056248,Round Tower Integrated Primary School,152,134,286
3056708,Mallusk Controlled Integrated Primary School,10,11,21
3066544,Millstrand Integrated Primary School,125,120,245
3066551,Braidside Integrated Primary School,156,158,314
3066561,Corran Integrated Primary School,77,82,159
3066568,Acorn Integrated Primary School,118,106,224
3066613,Spires Integrated Primary School,89,104,193
3066652,Maine Integrated Primary School,68,52,120
4010512,McKinney Primary School Dundrod,76,78,154
4010720,Ballycarrickmaddy Primary School,99,81,180
4010743,Largymore Primary School,99,77,176
4010762,Brownlee Primary School,97,103,200
4010788,Dunmurry Primary School,106,106,212
4010807,Lisburn Central Primary School,107,113,220
4010882,Seymour Hill Primary School,113,123,236
4010885,Tonagh Primary School,110,130,240
4011265,Ballyvester Primary School,65,58,123
4011300,Grey Abbey Primary School,45,48,93
