DE ref,Schoolname,total enrolment,fsme,free school meals
3010594,Garryduff Primary School,76,8,10.50%
3010631,Ballyclare Primary School,523,139,26.60%
3010642,Parkgate Primary School,64,9,14.10%
3010646,Olderfleet Primary School,181,57,31.50%
3010696,Woodburn Primary School,190,45,23.70%
3010714,Buick Memorial Primary School,320,66,20.60%
3010726,Dunseverick Primary School,102,23,22.50%
3010741,Creavery Primary School,80,5,6.30%
3010745,Loanends Primary School,204,13,6.40%
3010754,Doagh Primary School,87,19,21.80%
3010779,Thompson Primary School,189,12,6.30%
3010780,Kirkinriola Primary School,36,12,33.30%
3010781,Harryville Primary School,129,69,53.50%
3010785,"Eden Primary School, Carrickfergus",210,55,26.20%
3010787,Lislagan Primary School,113,21,18.60%
3010794,Gracehill Primary School,432,47,10.90%
3010795,Landhead Primary School,63,29,46.00%
3010796,"Eden Primary School, Ballymoney",66,7,10.60%
3010802,Ballynure Primary School,139,16,11.50%
3010804,Straidbilly Primary School,108,21,19.40%
3010808,Glynn Primary School,79,14,17.70%
3010809,Ballycarry Primary School,92,24,26.10%
3010816,Randalstown Central Primary School,187,26,13.90%
3010817,Greenisland Primary School,399,40,10.00%
3010818,Moorfields Primary School,184,25,13.60%
3010822,Groggan Primary School,130,17,13.10%
3010825,Carnaghts Primary School,110,15,13.60%
3010826,The Diamond Primary School,141,14,9.90%
3010827,Whitehouse Primary School,461,206,44.70%
3010828,Kilbride Primary School,140,11,7.90%
3010829,Antrim Primary School,606,110,18.20%
3010834,Clough Primary School,168,26,15.50%
3010835,Kells & Connor Primary School,189,36,19.00%
3010841,Carrickfergus Central Primary School,76,39,51.30%
3010842,The William Pinkerton Memorial Primary School,91,39,42.90%
3010846,Whiteabbey Primary School,411,25,6.10%
3010847,Portrush Primary School,189,59,31.20%
3010850,Upper Ballyboley Primary School,42,*,*
3010860,Sunnylands Primary School,167,106,63.50%
3010862,Abbots Cross Primary School,315,198,62.90%
3010870,Moyle Primary School,407,149,36.60%
3010873,Bushmills Primary School,111,57,51.40%
3010874,Whitehead Primary School,444,73,16.40%
3010875,Ballymena Primary School,296,71,24.00%
3010878,Kilmoyle Primary School,81,13,16.00%
3010879,Straidhavern Primary School,52,*,*
3010880,"Kings Park Primary School, Newtownabbey",393,122,31.00%
3010883,Linn Primary School,413,156,37.80%
3010891,Fourtowns Primary School,294,54,18.40%
3010892,Ballytober Primary School,87,34,39.10%
3010893,Knockahollet Primary School,96,10,10.40%
3010895,Rathcoole Primary School,125,84,67.20%
3012049,Carnalridge Primary School,184,29,15.80%
3012065,Culcrow Primary School,99,13,13.10%
3012225,Damhead Primary School,206,30,14.60%
3012229,Hezlett Primary School,248,53,21.40%
3012233,Tobermore Primary School,52,8,15.40%
3012234,Ampertaine Primary School,126,26,20.60%
3012237,"Killowen Primary School, Coleraine",201,91,45.30%
3012250,Portstewart Primary School,278,92,33.10%
3012264,Millburn Primary School,351,168,47.90%
3012267,Magherafelt Controlled Primary School,242,76,31.40%
3012269,Kilrea Primary School,90,24,26.70%
3012282,Culnady Primary School,26,8,30.80%
3012284,D H Christie Memorial Primary School,425,77,18.10%
3012288,Castleroe Primary School,110,24,21.80%
3012290,Bellaghy Primary School,55,9,16.40%
3012291,Maghera Primary School,100,34,34.00%
3013301,Carnmoney Primary School,408,83,20.30%
3013310,Broughshane Primary School,339,56,16.50%
3013315,Ballykeel Primary School,433,253,58.40%
3013322,Camphill Primary School,392,140,35.70%
3013323,Mossgrove Primary School,295,40,13.60%
3013325,Leaney Primary School,282,122,43.30%
3013330,"Victoria Primary School, Carrickfergus",464,98,21.10%
3013331,Ballycraigy Primary School,140,63,45.00%
3013332,Toreagh Primary School,102,25,24.50%
3013700,Macosquin Primary School,204,50,24.50%
3013703,Kilross Primary School,40,10,25.00%
3013704,Castledawson Primary School,94,28,29.80%
3016005,Silverstream Primary School,144,86,59.70%
3016014,Templepatrick Primary School,456,31,6.80%
3016015,Mossley Primary School,622,134,21.50%
3016037,Greystone Primary School,197,84,42.60%
3016038,Hollybank Primary School,143,83,58.00%
3016040,Armoy Primary School,89,37,41.60%
3016052,Harpurs Hill Primary School,220,142,64.50%
3016055,Gorran Primary School,81,15,18.50%
3016058,Parkhall Primary School,202,116,57.40%
3016063,Dunclug Primary School,67,43,64.20%
3016119,Garvagh Primary School,79,26,32.90%
3016125,Rasharkin Primary School,71,11,15.50%
3016129,Carniny Primary School,287,39,13.60%
3016170,Ballyhenry Primary School,159,60,37.70%
3016225,Woodlawn Primary School,267,132,49.40%
3016244,Ashgrove Primary,357,88,24.60%
3016249,Earlview Primary,224,130,58.00%
3016252,Ballysally Primary School,266,180,67.70%
