DE ref,Schoolname,Protestant,% Protestant,Catholic,% Catholic,Other Christian / non-Christian / no religion / unknown,% Other Christian / non-Christian / no religion / unknown,Enrolment
3012288,Castleroe Primary School,72,65.5,9,8.2,29,26.4,110
3012290,Bellaghy Primary School,47,85.5,0,0,8,14.5,55
3012291,Maghera Primary School,61,61,0,0,39,39,100
3013301,Carnmoney Primary School,290,71.1,10,2.5,108,26.5,408
3013310,Broughshane Primary School,276,81.4,*,*,#,#,339
3013315,Ballykeel Primary School,338,78.1,5,1.2,90,20.8,433
3013322,Camphill Primary School,314,80.1,9,2.3,69,17.6,392
3013323,Mossgrove Primary School,157,53.2,27,9.2,111,37.6,295
3013325,Leaney Primary School,224,79.4,*,*,#,#,282
3013330,"Victoria Primary School, Carrickfergus",254,54.7,*,*,#,#,464
3013331,Ballycraigy Primary School,50,35.7,0,0,90,64.3,140
3013332,Toreagh Primary School,83,81.4,*,*,#,#,102
3013700,Macosquin Primary School,125,61.3,0,0,79,38.7,204
3013703,Kilross Primary School,36,90,0,0,4,10,40
3013704,Castledawson Primary School,76,80.9,0,0,18,19.1,94
3016005,Silverstream Primary School,88,61.1,7,4.9,49,34,144
3016014,Templepatrick Primary School,309,67.8,44,9.6,103,22.6,456
3016015,Mossley Primary School,422,67.8,5,0.8,195,31.4,622
3016037,Greystone Primary School,110,55.8,5,2.5,82,41.6,197
3016038,Hollybank Primary School,128,89.5,*,*,#,#,143
3016040,Armoy Primary School,68,76.4,*,*,#,#,89
3016052,Harpurs Hill Primary School,114,51.8,7,3.2,99,45,220
3016055,Gorran Primary School,68,84,0,0,13,16,81
3016058,Parkhall Primary School,130,64.4,7,3.5,65,32.2,202
3016063,Dunclug Primary School,29,43.3,13,19.4,25,37.3,67
3016119,Garvagh Primary School,72,91.1,*,*,#,#,79
3016125,Rasharkin Primary School,61,85.9,*,*,#,#,71
3016129,Carniny Primary School,182,63.4,*,*,#,#,287
3016170,Ballyhenry Primary School,94,59.1,5,3.1,60,37.7,159
3016225,Woodlawn Primary School,105,39.3,*,*,#,#,267
3016244,Ashgrove Primary,203,56.9,23,6.4,131,36.7,357
3016249,Earlview Primary,132,58.9,*,*,#,#,224
3016252,Ballysally Primary School,158,59.4,7,2.6,101,38,266
3016257,Oakfield Primary School,252,76.8,*,*,#,#,328
3016260,Cloughmills Primary School,52,80,*,*,#,#,65
3016264,Irish Society's Primary School,157,52.5,35,11.7,107,35.8,299
3016269,Cairncastle Primary School,85,73.9,7,6.1,23,20,115
3016283,Knockloughrim Primary School,96,86.5,*,*,#,#,111
3016414,Fairview Primary School,370,69.7,5,0.9,156,29.4,531
3016440,Portglenone Primary School,96,81.4,*,*,#,#,118
3016444,Hazelbank Primary School,99,86.8,*,*,#,#,114
3016447,Balnamore Primary School,74,71.8,0,0,29,28.2,103
3016594,Bushvalley Primary School,98,68.1,*,*,#,#,144
3016705,Islandmagee Primary School,65,59.6,*,*,#,#,109
3030434,Creggan Primary School,0,0,116,99.1,1,0.9,117
3030438,Millquarter Primary School,*,*,#,#,*,*,135
3030547,"St Patrick's Primary School, Portrush",*,*,62,78.5,#,#,79
3030588,"St Mary's Primary School, Rathlin",*,*,*,*,#,#,10
3030621,"St Mary's Primary School, Portglenone",0,0,220,99.1,2,0.9,222
3030688,Mount St Michael's Primary School,*,*,452,96,#,#,471
3030708,Glenann Primary School,0,0,68,100,0,0,68
3030719,St Olcan's Primary School,0,0,80,100,0,0,80
3030800,Barnish Primary School,0,0,43,95.6,2,4.4,45
3030815,Moneynick Primary School,0,0,63,100,0,0,63
3030832,"St Comgall's Primary School, Antrim",*,*,510,95.5,#,#,534
3030848,St Macnisius' Primary School,0,0,35,100,0,0,35
3030890,"St Brigid's Primary School, Cloughmills",*,*,61,88.4,#,#,69
3030894,"St Mary's Primary School, Cushendall",0,0,178,97.8,4,2.2,182
3030898,"St Anne's Primary School, Ballymena",0,0,63,98.4,1,1.6,64
3030899,"Seaview Primary School, Glenarm",5,12.5,31,77.5,4,10,40
3030900,"St Anthony's Primary School, Larne",*,*,77,76.2,#,#,101
3032018,"St Brigid's Primary School, Tirkane",0,0,203,99,2,1,205
3032104,Ballyhackett Primary School,6,13.6,32,72.7,6,13.6,44
3032109,New Row Primary School,0,0,160,92,14,8,174
3032185,St Trea's Primary School,0,0,114,100,0,0,114
3032197,Knocknagin Primary School,0,0,62,98.4,1,1.6,63
3032202,"St Columba's Primary School, Garvagh",0,0,102,98.1,2,1.9,104
3032205,"St Columb's Primary School, Magherafelt",0,0,87,100,0,0,87
3032218,Crossroads Primary School,5,4.1,104,86,12,9.9,121
3032231,"St Colum's Primary School, Portstewart",*,*,172,97.2,*,*,177
3032246,"St John Bosco Primary School, Ballynease",*,*,#,#,0,0,120
3032257,Anahorish Primary School,0,0,169,96.6,6,3.4,175
3032268,"St Columba's Primary School, Straw",0,0,186,100,0,0,186
3032271,St Eoghan's Primary School,0,0,121,100,0,0,121
